session,flight,n_iterations,seed,status,wall_ms,error_mm,n_inliers,n_fit_points,rejected_frac,fit_window_duration_ms
2026_07_15_gym,flight_12,3,14,ok,110.5409,305.6673,10,26,0.6154,416.3005
2026_07_15_gym,flight_12,3,15,ok,114.8582,159.6166,16,26,0.3846,416.3005
2026_07_15_gym,flight_12,3,16,ok,104.0739,175.2299,18,26,0.3077,416.3005
2026_07_15_gym,flight_12,3,17,ok,106.8681,169.7625,19,26,0.2692,416.3005
2026_07_15_gym,flight_12,3,18,ok,108.3281,151.5591,18,26,0.3077,416.3005
2026_07_15_gym,flight_12,3,19,ok,118.1906,228.3889,12,26,0.5385,416.3005
2026_07_15_gym,flight_12,3,20,ok,121.8549,195.2162,12,26,0.5385,416.3005
2026_07_15_gym,flight_12,3,21,ok,109.6871,176.8956,17,26,0.3462,416.3005
2026_07_15_gym,flight_12,3,22,ok,112.0292,190.4634,16,26,0.3846,416.3005
2026_07_15_gym,flight_12,3,23,ok,103.7810,182.4381,19,26,0.2692,416.3005
2026_07_15_gym,flight_12,3,24,ok,101.6865,163.5321,17,26,0.3462,416.3005
2026_07_15_gym,flight_12,5,0,ok,160.3184,169.7625,19,26,0.2692,416.3005
2026_07_15_gym,flight_12,5,1,ok,161.0237,223.4786,12,26,0.5385,416.3005
2026_07_15_gym,flight_12,5,2,ok,153.4769,175.2299,18,26,0.3077,416.3005
2026_07_15_gym,flight_12,5,3,ok,161.3949,175.2299,18,26,0.3077,416.3005
2026_07_15_gym,flight_12,5,4,ok,159.6398,248.5876,17,26,0.3462,416.3005
2026_07_15_gym,flight_12,5,5,ok,166.6309,189.3739,17,26,0.3462,416.3005
2026_07_15_gym,flight_12,5,6,ok,170.6055,154.1862,17,26,0.3462,416.3005
2026_07_15_gym,flight_12,5,7,ok,174.3002,175.2299,18,26,0.3077,416.3005
2026_07_15_gym,flight_12,5,8,ok,158.1502,188.7390,14,26,0.4615,416.3005
2026_07_15_gym,flight_12,5,9,ok,159.6268,283.4871,11,26,0.5769,416.3005
2026_07_15_gym,flight_12,5,10,ok,159.1193,1032.2702,9,26,0.6538,416.3005
2026_07_15_gym,flight_12,5,11,ok,166.6859,126.3179,12,26,0.5385,416.3005
2026_07_15_gym,flight_12,5,12,ok,159.0733,223.4786,12,26,0.5385,416.3005
2026_07_15_gym,flight_12,5,13,ok,161.1881,166.5377,16,26,0.3846,416.3005
2026_07_15_gym,flight_12,5,14,ok,164.6073,275.4371,16,26,0.3846,416.3005
2026_07_15_gym,flight_12,5,15,ok,162.8493,159.6166,16,26,0.3846,416.3005
2026_07_15_gym,flight_12,5,16,ok,163.1401,175.2299,18,26,0.3077,416.3005
2026_07_15_gym,flight_12,5,17,ok,158.1238,169.7625,19,26,0.2692,416.3005
2026_07_15_gym,flight_12,5,18,ok,157.1167,151.5591,18,26,0.3077,416.3005
2026_07_15_gym,flight_12,5,19,ok,162.3830,228.3889,12,26,0.5385,416.3005
2026_07_15_gym,flight_12,5,20,ok,161.4138,188.3973,17,26,0.3462,416.3005
2026_07_15_gym,flight_12,5,21,ok,166.3452,176.8956,17,26,0.3462,416.3005
2026_07_15_gym,flight_12,5,22,ok,160.9275,190.4634,16,26,0.3846,416.3005
2026_07_15_gym,flight_12,5,23,ok,160.3460,182.4381,19,26,0.2692,416.3005
2026_07_15_gym,flight_12,5,24,ok,157.7915,163.5321,17,26,0.3462,416.3005
2026_07_15_gym,flight_12,7,0,ok,207.6536,169.7625,19,26,0.2692,416.3005
2026_07_15_gym,flight_12,7,1,ok,228.7451,165.9363,17,26,0.3462,416.3005
2026_07_15_gym,flight_12,7,2,ok,204.2707,175.2299,18,26,0.3077,416.3005
2026_07_15_gym,flight_12,7,3,ok,207.0024,175.2299,18,26,0.3077,416.3005
2026_07_15_gym,flight_12,7,4,ok,194.8560,248.5876,17,26,0.3462,416.3005
2026_07_15_gym,flight_12,7,5,ok,199.9849,189.3739,17,26,0.3462,416.3005
2026_07_15_gym,flight_12,7,6,ok,226.3319,154.1862,17,26,0.3462,416.3005
2026_07_15_gym,flight_12,7,7,ok,209.2268,175.2299,18,26,0.3077,416.3005
2026_07_15_gym,flight_12,7,8,ok,213.6538,188.7390,14,26,0.4615,416.3005
2026_07_15_gym,flight_12,7,9,ok,200.8644,223.4786,12,26,0.5385,416.3005
2026_07_15_gym,flight_12,7,10,ok,227.2065,1032.2702,9,26,0.6538,416.3005
2026_07_15_gym,flight_12,7,11,ok,217.7125,176.3031,15,26,0.4231,416.3005
2026_07_15_gym,flight_12,7,12,ok,206.8719,166.5377,16,26,0.3846,416.3005
2026_07_15_gym,flight_12,7,13,ok,205.9461,166.5377,16,26,0.3846,416.3005
2026_07_15_gym,flight_12,7,14,ok,213.9243,275.4371,16,26,0.3846,416.3005
2026_07_15_gym,flight_12,7,15,ok,211.9367,159.6166,16,26,0.3846,416.3005
2026_07_15_gym,flight_12,7,16,ok,216.0234,175.2299,18,26,0.3077,416.3005
2026_07_15_gym,flight_12,7,17,ok,193.3508,169.7625,19,26,0.2692,416.3005
2026_07_15_gym,flight_12,7,18,ok,196.5465,151.5591,18,26,0.3077,416.3005
2026_07_15_gym,flight_12,7,19,ok,228.0379,228.3889,12,26,0.5385,416.3005
2026_07_15_gym,flight_12,7,20,ok,219.3591,188.3973,17,26,0.3462,416.3005
2026_07_15_gym,flight_12,7,21,ok,205.5111,176.8956,17,26,0.3462,416.3005
2026_07_15_gym,flight_12,7,22,ok,210.7008,190.4634,16,26,0.3846,416.3005
2026_07_15_gym,flight_12,7,23,ok,216.2539,182.4381,19,26,0.2692,416.3005
2026_07_15_gym,flight_12,7,24,ok,205.0301,163.5321,17,26,0.3462,416.3005
2026_07_15_gym,flight_12,10,0,ok,269.8773,169.7625,19,26,0.2692,416.3005
2026_07_15_gym,flight_12,10,1,ok,311.5801,165.9363,17,26,0.3462,416.3005
2026_07_15_gym,flight_12,10,2,ok,296.8362,175.2299,18,26,0.3077,416.3005
2026_07_15_gym,flight_12,10,3,ok,284.1355,175.2299,18,26,0.3077,416.3005
2026_07_15_gym,flight_12,10,4,ok,286.6294,170.5305,18,26,0.3077,416.3005
2026_07_15_gym,flight_12,10,5,ok,292.2628,189.3739,17,26,0.3462,416.3005
2026_07_15_gym,flight_12,10,6,ok,291.6043,154.1862,17,26,0.3462,416.3005
2026_07_15_gym,flight_12,10,7,ok,289.4350,175.2299,18,26,0.3077,416.3005
2026_07_15_gym,flight_12,10,8,ok,287.2022,188.3973,17,26,0.3462,416.3005
2026_07_15_gym,flight_12,10,9,ok,289.5265,244.6595,16,26,0.3846,416.3005
2026_07_15_gym,flight_12,10,10,ok,281.1886,175.2299,18,26,0.3077,416.3005
2026_07_15_gym,flight_12,10,11,ok,313.8608,176.3031,15,26,0.4231,416.3005
2026_07_15_gym,flight_12,10,12,ok,309.1248,166.5377,16,26,0.3846,416.3005
2026_07_15_gym,flight_12,10,13,ok,310.9796,166.5377,16,26,0.3846,416.3005
2026_07_15_gym,flight_12,10,14,ok,299.7416,275.4371,16,26,0.3846,416.3005
2026_07_15_gym,flight_12,10,15,ok,301.4803,209.3881,17,26,0.3462,416.3005
2026_07_15_gym,flight_12,10,16,ok,287.2213,175.2299,18,26,0.3077,416.3005
2026_07_15_gym,flight_12,10,17,ok,275.8039,169.7625,19,26,0.2692,416.3005
2026_07_15_gym,flight_12,10,18,ok,277.3934,151.5591,18,26,0.3077,416.3005
2026_07_15_gym,flight_12,10,19,ok,313.9637,209.3881,17,26,0.3462,416.3005
