session,flight,W_ms,status,n_points,detect_sum_ms,triangulate_ms,ransac_ms,total_compute_ms,w_plus_compute_ms,position_error_mm,velocity_error_a_mm_s,velocity_error_b_mm_s,lead_time_ms,reason
2026_07_15_gym,flight_23,300.0,ok,19,363.28393100202084,0.13036299496889114,130.23009499907494,493.64438899606466,793.6443889960647,85.46077512590695,90.47971105905685,10046.027434168012,999.1260000000002,
2026_07_15_gym,flight_23,350.0,ok,22,420.520959995687,0.14036399871110916,138.69449399411678,559.3558179885149,909.3558179885149,88.75503365111295,26.874391074673678,9980.7995574061,949.1700000000001,
2026_07_15_gym,flight_23,400.0,ok,25,477.67661299556494,0.15338299423456192,141.02465800195932,618.8546539917588,1018.8546539917588,68.77726326011667,53.96396510916257,10010.142950706282,899.2045,
2026_07_15_gym,flight_23,430.0,ok,26,496.5572669953108,0.1542540043592453,149.14556599408388,645.8570869937539,1075.857086993754,65.42238161052926,42.62205840319937,10003.556243505498,882.5615000000001,
2026_07_15_gym,flight_24,150.0,ok,10,189.54008102416992,0.09834199398756027,114.04213599860668,303.68055901676416,453.68055901676416,514.8630629807313,1385.727342963871,350481.68007980805,1232.2569999999998,
2026_07_15_gym,flight_24,200.0,ok,13,246.92779202759266,0.11182399839162827,100.59537899494171,347.634995020926,547.634995020926,480.56289516471946,1385.148834244659,350472.6701119865,1182.3,
2026_07_15_gym,flight_24,250.0,ok,16,303.3176760226488,0.11843600124120712,104.5276449918747,407.9637570157647,657.9637570157647,394.3418229763083,1345.6316924726095,350502.41955150897,1132.3439999999998,
2026_07_15_gym,flight_24,300.0,ok,19,359.84423803538084,0.13532600551843643,117.53053100407124,477.5100950449705,777.5100950449705,401.4620035673525,1350.1548597508051,350496.36904506566,1082.3874999999998,
2026_07_15_gym,flight_24,350.0,ok,22,417.92282304912806,0.13812300562858582,126.96219999343157,545.0231460481882,895.0231460481882,422.22738248775937,1362.3897452384956,350485.7969113086,1032.432,
2026_07_15_gym,flight_24,400.0,ok,25,475.46625304967165,0.15564299374818802,134.18465899676085,609.8065550401807,1009.8065550401807,406.6699601739913,1351.167993500961,350496.80166911724,982.4744999999999,
2026_07_15_gym,flight_24,430.0,ok,26,493.7245190516114,0.15727199614048004,134.05557300150394,627.9373640492558,1057.9373640492558,392.6438635148234,1341.3077127604215,350506.8832859805,965.8235,
2026_07_15_gym,flight_25,150.0,ok,10,190.55681700259447,0.09832299500703812,85.72168400138617,276.3768239989877,426.3768239989877,191.50376962880853,199.6181561800918,1068.865323343881,1332.1654999999998,
2026_07_15_gym,flight_25,200.0,ok,13,248.35152599960566,0.10791699588298798,98.6706749945879,347.13011799007654,547.1301179900765,321.1603308559037,364.61385585565165,971.1577184092799,1282.2085,
2026_07_15_gym,flight_25,250.0,ok,16,304.9104240015149,0.12088099867105484,102.86863200366497,407.89993700385094,657.8999370038509,706.8754758466782,601.8463350455427,882.5415064947715,1232.2530000000002,
2026_07_15_gym,flight_25,300.0,ok,19,361.80868500471115,0.13249299675226212,117.92984399199486,479.87102199345827,779.8710219934583,394.4020442887098,413.6913790976591,936.179397008866,1182.2955,
2026_07_15_gym,flight_25,350.0,ok,22,420.21894799917936,0.14153099805116653,135.79428000748158,556.1547590047121,906.1547590047121,382.2234615985452,408.36766885639145,940.2000434289199,1132.3405,
2026_07_15_gym,flight_25,400.0,ok,25,477.5611729994416,0.14925400912761688,130.8751679956913,608.5855950042605,1008.5855950042605,213.49787661091838,263.4855651912984,1031.2976808646797,1082.3835,
2026_07_15_gym,flight_25,430.0,ok,26,496.0200860053301,0.15712499618530273,131.95153899490833,628.1287499964237,1058.1287499964237,212.88532390195257,254.44480354959276,1038.0507552451759,1065.7329999999997,
2026_07_15_gym,flight_26,150.0,ok,10,190.8376409932971,0.09939700365066528,87.7415260002017,278.67856399714947,428.67856399714947,429.0944233258543,1113.2376411212242,5731.466205877414,1282.2075,
2026_07_15_gym,flight_26,200.0,ok,13,248.40327598154545,0.10947199910879135,100.94600199908018,349.4587499797344,549.4587499797344,172.35265746420012,1229.6175681082357,5834.371229885722,1232.251,
2026_07_15_gym,flight_26,250.0,ok,16,305.40617598593235,0.12086299806833267,103.08109500259161,408.6081339865923,658.6081339865923,135.76716128480516,1312.9976082193032,5918.5674571037125,1182.2949999999998,
2026_07_15_gym,flight_26,300.0,ok,19,362.25378696620464,0.12973400205373764,117.33429200202227,479.71781297028065,779.7178129702806,251.51018520182598,1383.6345586094292,5997.6156282398,1132.339,
2026_07_15_gym,flight_26,350.0,ok,22,419.96797197312117,0.14199399203062057,126.10097699612379,546.2109429612756,896.2109429612756,221.36742850220372,1377.3748991333275,5982.085038032755,1082.382,
2026_07_15_gym,flight_26,400.0,ok,25,477.34488497674465,0.15279100090265274,133.06045100092888,610.5581269785762,1010.5581269785762,340.3917216686534,1451.4164207711412,6048.278199333734,1032.427,
2026_07_15_gym,flight_26,430.0,ok,26,496.105509981513,0.15417999774217606,132.00411799550056,628.2638079747558,1058.2638079747558,293.09196729085266,1419.172786793352,6025.411483864711,1015.7745,
2026_07_15_gym,flight_27,150.0,ok,10,192.58082900196314,0.09615600109100342,80.885857000947,273.56284200400114,423.56284200400114,485.634599284563,1275.329503301605,8655.072864335556,1115.6889999999999,
2026_07_15_gym,flight_27,200.0,ok,13,250.56470300257206,0.10639899969100952,88.36433899402618,339.03544099628925,539.0354409962893,384.93690982822477,1440.6000981790407,8578.604087800282,1065.732,
2026_07_15_gym,flight_27,250.0,ok,16,308.54857701063156,0.12075100839138031,104.3884490057826,413.05777702480555,663.0577770248055,307.13039373600867,1407.3093112223794,8559.475349580944,1015.7760000000001,
2026_07_15_gym,flight_27,300.0,ok,19,365.903880007565,0.13617900013923645,115.35826899856329,481.39832800626755,781.3983280062675,295.82956821471294,1469.7587486318168,8513.89446619145,965.8199999999999,
2026_07_15_gym,flight_27,350.0,ok,22,424.4211900010705,0.14334500581026077,126.56357300281525,551.128108009696,901.128108009696,250.7039073097826,1417.528910591725,8521.036424251166,915.8634999999999,
2026_07_15_gym,flight_27,400.0,ok,25,485.7165919840336,0.15493899583816528,132.06828999519348,617.9398209750652,1017.9398209750652,243.11904611837207,1462.5829345394995,8484.556819772246,865.9075,
2026_07_15_gym,flight_27,430.0,ok,26,504.6298969835043,0.15318000316619873,133.151811003685,637.9348879903555,1067.9348879903555,219.13991043537612,1419.5437362134571,8500.909405163844,849.2555,
2026_07_15_gym,flight_28,150.0,ok,10,190.98815502226353,0.09586100280284882,84.74345099925995,275.8274670243263,425.8274670243263,362.7439761813292,243.05255609303077,1790.30147694794,1365.4825,
2026_07_15_gym,flight_28,200.0,ok,13,248.39038602262735,0.1104540005326271,100.66351500153542,349.1643550246954,549.1643550246954,283.574355930026,200.08217930991455,1755.141914386941,1315.527,
2026_07_15_gym,flight_28,250.0,ok,16,306.3742600157857,0.12169599533081055,103.63203199952841,410.1279880106449,660.1279880106449,169.42676660645336,135.28947411095334,1734.595353715593,1265.5705,
2026_07_15_gym,flight_28,300.0,ok,19,363.62430999428034,0.1322150006890297,116.86973299831152,480.6262579932809,780.6262579932809,157.2426503926731,130.7906467839322,1718.8574550586447,1215.6145000000001,
2026_07_15_gym,flight_28,350.0,ok,22,421.5233439877629,0.14414199441671371,126.52316199243069,548.1906479746103,898.1906479746103,128.55053730110237,95.47007949312736,1718.411567918395,1165.6580000000001,
2026_07_15_gym,flight_28,400.0,ok,25,479.24954599142075,0.15299400687217712,133.67141100019217,613.0739509984851,1013.0739509984851,146.46456321111833,107.67968635446344,1723.3199311722774,1115.702,
2026_07_15_gym,flight_28,430.0,ok,26,497.8123389929533,0.15379100292921066,131.85471700131893,629.8208469972014,1059.8208469972014,159.19131430173826,122.51633182660139,1725.650771045023,1099.049,
2026_07_15_gym,flight_29,150.0,ok,9,171.0655939951539,0.0921740010380745,103.83843798935413,274.9962059855461,424.9962059855461,351.05743696413145,638.6409351827624,10259.414017812189,1332.1644999999999,
2026_07_15_gym,flight_29,200.0,ok,12,228.608523003757,0.10180500149726868,112.77073000371456,341.48105800896883,541.4810580089688,170.5722305701221,534.2149413249412,10186.313258921165,1282.2089999999998,
2026_07_15_gym,flight_29,250.0,ok,15,284.9793870076537,0.11639899760484695,117.57144200056791,402.6672280058265,652.6672280058265,132.6935490844995,505.60803600673586,10166.40906567893,1232.2530000000002,
2026_07_15_gym,flight_29,300.0,ok,18,341.89746502041817,0.12719599902629852,128.8804769963026,470.90513801574707,770.9051380157471,93.3754138314534,469.43828218786604,10146.32782509537,1182.2965,
2026_07_15_gym,flight_29,350.0,ok,21,399.71688003093004,0.137364000082016,132.34731500595808,532.2015590369701,882.2015590369701,100.04872640150694,441.6020398940422,10128.374101244384,1132.3405,
2026_07_15_gym,flight_29,400.0,ok,24,457.60808204114437,0.14995699375867844,146.1840310022235,603.9420700371265,1003.9420700371265,152.58395184856158,545.0598305717518,10204.662406737225,1082.3835,
2026_07_15_gym,flight_29,430.0,ok,25,476.09468304365873,0.15069900453090668,144.94096100330353,621.1863430514932,1051.1863430514932,117.76444330294625,522.3959438120279,10189.001416554325,1065.732,
2026_07_15_gym,flight_31,150.0,ok,10,190.93123997747898,0.09897200763225555,95.09823700040579,286.128448985517,436.128448985517,719.0459365894977,369.57743835227035,3210.9314042929586,1282.2089999999998,
2026_07_15_gym,flight_31,200.0,ok,13,248.25161200016737,0.10967600345611572,102.17838601022959,350.5396740138531,550.5396740138531,94.86902302058924,34.628162862331074,3501.5976274622767,1232.252,
2026_07_15_gym,flight_31,250.0,ok,16,305.10059198737144,0.11804699897766113,113.65375100076199,418.8723899871111,668.8723899871111,827.4952919998972,421.426569086097,3184.5453693695295,1182.296,
2026_07_15_gym,flight_31,300.0,ok,19,361.6751219779253,0.13234499841928482,125.39097099751234,487.1984379738569,787.1984379738569,382.91279986628075,257.56295270177947,3692.5484194255077,1132.3394999999998,
2026_07_15_gym,flight_31,350.0,ok,22,419.09681798517704,0.1423639953136444,133.66905899345875,552.9082409739494,902.9082409739494,272.89379312206967,199.43364103950404,3650.8677360353367,1082.3839999999998,
2026_07_15_gym,flight_31,400.0,ok,25,476.49888299405575,0.14867901057004929,136.5495120063424,613.1970740109682,1013.1970740109682,258.86448430038666,189.11672690850537,3637.1204035203937,1032.4274999999998,
2026_07_15_gym,flight_31,430.0,ok,26,495.3869269937277,0.15862500667572021,136.04811700433493,631.5936690047383,1061.5936690047383,106.01341038747395,86.8622328998052,3559.2379036387542,1015.7755,
2026_07_15_gym,flight_33,150.0,ok,10,191.4568579941988,0.09561999142169952,84.77663799375296,276.32911597937346,426.32911597937346,549.340320588796,491.0588116267078,2646.862700827311,1132.3410000000001,
