cls2,T_ms,n_ok,n_fit_failed,frame_lag_ms_median,last_pair_detect_ms_median,triangulate_ms_median,ransac_ms_median,predict_ms_median,stage_sum_median,latency_ms_median,sum_minus_latency_median,frame_lag_ms_p95,last_pair_detect_ms_p95,triangulate_ms_p95,ransac_ms_p95,predict_ms_p95,stage_sum_p95,latency_ms_p95,sum_minus_latency_p95
SHORT,650,47,0,16.667000,13.556037,0.140241,159.184000,9.959463,199.506741,199.557483,-0.050742,16.667000,15.139128,0.143640,190.387213,18.776910,241.113890,239.366127,1.747763
SHORT,700,47,0,16.667000,13.523778,0.144426,163.829334,9.671945,203.836483,203.620315,0.216168,16.667000,15.019591,0.153104,199.896565,18.858650,250.594910,247.049443,3.545467
SHORT,750,47,0,16.667000,13.531185,0.145648,167.451982,9.863778,207.659593,207.942871,-0.283278,16.667000,15.079376,0.154885,214.863930,19.193493,265.958684,266.787706,-0.829023
SHORT,800,47,0,16.667000,13.526833,0.149426,168.537315,9.860018,208.740592,209.427241,-0.686649,16.667000,14.994324,0.162329,214.271991,19.416337,265.511981,262.603225,2.908756
SHORT,850,47,0,16.667000,13.561426,0.149351,167.845444,9.894574,208.117795,208.438111,-0.320316,16.667000,15.025463,0.165932,212.325555,19.907948,264.091898,263.624283,0.467615
SHORT,900,47,0,16.667000,13.576297,0.149796,167.557593,9.874334,207.825020,209.091685,-1.266665,16.667000,15.102097,0.170746,232.019584,20.067037,284.026463,283.621633,0.404829
SHORT,950,47,0,16.667000,13.526833,0.149871,167.759000,9.859722,207.962426,208.115815,-0.153389,16.667000,15.046398,0.175371,244.190829,20.342591,296.422189,297.096066,-0.673877
SHORT,1000,47,0,16.667000,13.547093,0.147519,168.010630,9.883556,208.255798,208.625352,-0.369554,16.667000,15.084409,0.180402,245.887667,22.240105,300.059583,301.170510,-1.110927
SHORT,1050,47,0,16.667000,13.538722,0.151093,167.989593,9.892778,208.239186,208.620296,-0.381110,16.667000,15.093574,0.186030,248.125691,22.694454,302.766748,302.745703,0.021045
SHORT,1100,47,0,16.667000,13.538722,0.148259,167.712704,9.870834,207.937519,208.629687,-0.692168,16.667000,15.093574,0.189945,258.881961,16.862140,307.694621,306.738249,0.956371
SHORT,1150,47,0,16.667000,13.538722,0.151500,167.837574,9.881241,208.076037,208.279853,-0.203816,16.667000,15.093900,0.196202,281.709596,15.048721,328.715419,327.740220,0.975199
SHORT,1200,46,1,16.667000,13.532778,0.149000,167.747880,9.861093,207.957750,208.255018,-0.297269,16.667000,15.048838,0.205699,250.977592,16.549199,299.448328,298.265269,1.183060
SHORT,1250,47,0,16.667000,13.538722,0.150296,168.035519,9.893111,208.284648,208.625427,-0.340779,16.667000,15.054265,0.203808,260.483169,16.920869,309.329110,308.987691,0.341419
LONG,150,25,35,16.667000,14.641074,0.045019,85.534074,23.425685,140.312852,139.648129,0.664723,16.667000,15.123271,0.050893,95.595522,30.724926,158.161612,150.501748,7.659864
LONG,200,45,15,16.667000,14.694000,0.083778,91.665111,25.227241,148.337130,147.500982,0.836148,16.667000,15.135308,0.087592,112.993126,27.803453,172.686479,168.071581,4.614898
LONG,250,51,9,16.667000,14.576334,0.089963,103.264370,22.332537,156.930204,156.444205,0.485999,16.667000,15.179611,0.093833,117.019954,31.465195,180.425592,174.950731,5.474862
LONG,300,59,1,16.667000,14.575926,0.096204,115.274241,24.260851,170.874222,169.599001,1.275221,16.667000,15.174641,0.101104,130.580549,26.282117,188.805411,186.509885,2.295526
LONG,350,60,0,16.667000,14.567944,0.102482,126.017528,23.789657,181.144611,178.812379,2.332231,16.667000,15.054110,0.106188,143.375822,27.028597,202.231717,199.727288,2.504429
LONG,400,60,0,16.667000,14.591250,0.108316,133.275528,20.952842,185.594936,185.693842,-0.098907,16.667000,15.229104,0.111884,146.477641,28.348730,206.834360,202.737622,4.096738
LONG,450,59,1,16.667000,14.523963,0.114611,141.766204,22.532908,195.604686,195.441980,0.162706,16.667000,15.090671,0.118360,159.329366,24.917796,216.123193,213.234879,2.888314
LONG,490,59,1,16.667000,14.497277,0.118852,149.303834,22.770407,203.357370,202.256295,1.101075,16.667000,15.101537,0.122032,162.003919,24.899759,218.794247,217.652646,1.141600
LONG,500,59,1,16.667000,13.861112,0.120871,148.967241,22.829241,202.445465,202.288463,0.157002,16.667000,15.232798,0.123880,169.448655,24.397005,225.869339,224.797709,1.071629
LONG,550,59,1,16.667000,14.273926,0.127148,161.901074,23.617056,216.586204,215.593853,0.992351,16.667000,15.298808,0.131263,177.627428,25.145037,234.869535,232.917144,1.952391
LONG,600,60,0,16.667000,14.419676,0.132880,171.368768,24.948324,227.536648,227.610194,-0.073546,16.667000,15.130377,0.136777,195.172072,27.560688,254.666914,250.997344,3.669570
LONG,650,60,0,16.667000,14.234269,0.138639,178.074463,19.368944,228.483314,228.842342,-0.359028,16.667000,15.091021,0.143281,196.341810,27.816495,256.059606,249.167673,6.891933
LONG,700,60,0,16.667000,14.408157,0.144176,192.458315,20.333916,244.011565,244.066286,-0.054721,16.667000,15.065931,0.148688,220.377103,29.259422,281.518144,274.923752,6.594391
LONG,750,60,0,16.667000,14.181222,0.150324,196.180519,20.736121,247.915186,248.105277,-0.190092,16.667000,15.032208,0.156257,215.851471,22.385387,270.092323,269.023707,1.068615
LONG,800,59,1,16.667000,13.832556,0.156518,203.410259,21.213426,255.279759,255.484758,-0.204999,16.667000,15.045733,0.161400,225.674501,22.489872,280.038505,278.813747,1.224758
LONG,850,60,0,16.667000,14.164759,0.161389,211.148639,21.437778,263.579565,263.419454,0.160111,16.667000,15.118797,0.167488,234.188064,22.735178,288.876527,288.079884,0.796643
LONG,900,59,1,16.667000,13.988389,0.166852,220.959351,21.764629,273.546221,273.142629,0.403592,16.667000,15.140102,0.176927,257.690947,23.089865,312.764841,310.522802,2.242039
LONG,950,60,0,16.667000,14.284158,0.172547,229.937324,22.054055,283.115084,282.811899,0.303185,16.667000,15.067949,0.179293,255.550313,23.342253,310.806808,307.979877,2.826931
LONG,1000,60,0,16.667000,14.164889,0.177259,235.595981,22.354888,288.960018,288.823064,0.136954,16.667000,15.047957,0.184097,276.931393,23.720653,332.551099,333.411937,-0.860837
LONG,1050,60,0,16.667000,14.160380,0.182638,240.496000,24.175991,295.682009,295.025630,0.656379,16.667000,15.233702,0.192462,277.319651,26.042494,335.455308,334.791461,0.663847
LONG,1100,56,4,16.667000,13.906814,0.189287,247.310453,24.831500,302.905055,303.498694,-0.593639,16.667000,15.109681,0.196592,292.537236,27.115625,351.626134,351.115287,0.510847
LONG,1150,60,0,16.667000,14.127315,0.194945,257.062065,24.792499,312.843825,311.160723,1.683102,16.667000,15.222414,0.201513,287.373297,26.808912,346.273135,336.731623,9.541512
LONG,1200,59,1,16.667000,13.895408,0.201111,254.771278,24.541370,310.076167,310.221241,-0.145074,16.667000,15.145726,0.208202,298.390069,27.030041,357.441037,356.830757,0.610280
LONG,1250,59,1,16.667000,13.885037,0.205889,264.583092,18.858426,314.199444,317.647667,-3.448223,16.667000,14.983205,0.213814,304.594516,27.422350,363.880886,359.472321,4.408564
