cls,window_ms,D_mm,phase_i,phase_j,origin_y_mm,origin_z_mm,n_included,n_correct,match_fraction
SHORT,400,250,5,5,-2785.0000,125.0000,47,35,0.744681
SHORT,400,250,5,6,-2785.0000,150.0000,47,34,0.723404
SHORT,400,250,5,7,-2785.0000,175.0000,47,36,0.765957
SHORT,400,250,5,8,-2785.0000,200.0000,47,33,0.702128
SHORT,400,250,5,9,-2785.0000,225.0000,47,30,0.638298
SHORT,400,250,6,0,-2760.0000,0.0000,47,29,0.617021
SHORT,400,250,6,1,-2760.0000,25.0000,47,33,0.702128
SHORT,400,250,6,2,-2760.0000,50.0000,47,27,0.574468
SHORT,400,250,6,3,-2760.0000,75.0000,47,27,0.574468
SHORT,400,250,6,4,-2760.0000,100.0000,47,33,0.702128
SHORT,400,250,6,5,-2760.0000,125.0000,47,33,0.702128
SHORT,400,250,6,6,-2760.0000,150.0000,47,32,0.680851
SHORT,400,250,6,7,-2760.0000,175.0000,47,34,0.723404
SHORT,400,250,6,8,-2760.0000,200.0000,47,31,0.659574
SHORT,400,250,6,9,-2760.0000,225.0000,47,30,0.638298
SHORT,400,250,7,0,-2735.0000,0.0000,47,30,0.638298
SHORT,400,250,7,1,-2735.0000,25.0000,47,35,0.744681
SHORT,400,250,7,2,-2735.0000,50.0000,47,30,0.638298
SHORT,400,250,7,3,-2735.0000,75.0000,47,30,0.638298
SHORT,400,250,7,4,-2735.0000,100.0000,47,34,0.723404
SHORT,400,250,7,5,-2735.0000,125.0000,47,33,0.702128
SHORT,400,250,7,6,-2735.0000,150.0000,47,32,0.680851
SHORT,400,250,7,7,-2735.0000,175.0000,47,34,0.723404
SHORT,400,250,7,8,-2735.0000,200.0000,47,31,0.659574
SHORT,400,250,7,9,-2735.0000,225.0000,47,30,0.638298
SHORT,400,250,8,0,-2710.0000,0.0000,47,27,0.574468
SHORT,400,250,8,1,-2710.0000,25.0000,47,31,0.659574
SHORT,400,250,8,2,-2710.0000,50.0000,47,28,0.595745
SHORT,400,250,8,3,-2710.0000,75.0000,47,27,0.574468
SHORT,400,250,8,4,-2710.0000,100.0000,47,30,0.638298
SHORT,400,250,8,5,-2710.0000,125.0000,47,29,0.617021
SHORT,400,250,8,6,-2710.0000,150.0000,47,28,0.595745
SHORT,400,250,8,7,-2710.0000,175.0000,47,30,0.638298
SHORT,400,250,8,8,-2710.0000,200.0000,47,27,0.574468
SHORT,400,250,8,9,-2710.0000,225.0000,47,27,0.574468
SHORT,400,250,9,0,-2685.0000,0.0000,47,29,0.617021
SHORT,400,250,9,1,-2685.0000,25.0000,47,33,0.702128
SHORT,400,250,9,2,-2685.0000,50.0000,47,30,0.638298
SHORT,400,250,9,3,-2685.0000,75.0000,47,29,0.617021
SHORT,400,250,9,4,-2685.0000,100.0000,47,32,0.680851
SHORT,400,250,9,5,-2685.0000,125.0000,47,31,0.659574
SHORT,400,250,9,6,-2685.0000,150.0000,47,29,0.617021
SHORT,400,250,9,7,-2685.0000,175.0000,47,32,0.680851
SHORT,400,250,9,8,-2685.0000,200.0000,47,28,0.595745
SHORT,400,250,9,9,-2685.0000,225.0000,47,27,0.574468
SHORT,400,300,0,0,-2910.0000,0.0000,47,31,0.659574
SHORT,400,300,0,1,-2910.0000,30.0000,47,31,0.659574
SHORT,400,300,0,2,-2910.0000,60.0000,47,35,0.744681
SHORT,400,300,0,3,-2910.0000,90.0000,47,34,0.723404
SHORT,400,300,0,4,-2910.0000,120.0000,47,33,0.702128
SHORT,400,300,0,5,-2910.0000,150.0000,47,34,0.723404
SHORT,400,300,0,6,-2910.0000,180.0000,47,38,0.808511
SHORT,400,300,0,7,-2910.0000,210.0000,47,36,0.765957
SHORT,400,300,0,8,-2910.0000,240.0000,47,34,0.723404
SHORT,400,300,0,9,-2910.0000,270.0000,47,34,0.723404
SHORT,400,300,1,0,-2880.0000,0.0000,47,30,0.638298
SHORT,400,300,1,1,-2880.0000,30.0000,47,30,0.638298
SHORT,400,300,1,2,-2880.0000,60.0000,47,33,0.702128
SHORT,400,300,1,3,-2880.0000,90.0000,47,33,0.702128
SHORT,400,300,1,4,-2880.0000,120.0000,47,32,0.680851
SHORT,400,300,1,5,-2880.0000,150.0000,47,33,0.702128
SHORT,400,300,1,6,-2880.0000,180.0000,47,37,0.787234
SHORT,400,300,1,7,-2880.0000,210.0000,47,35,0.744681
SHORT,400,300,1,8,-2880.0000,240.0000,47,34,0.723404
SHORT,400,300,1,9,-2880.0000,270.0000,47,33,0.702128
SHORT,400,300,2,0,-2850.0000,0.0000,47,29,0.617021
SHORT,400,300,2,1,-2850.0000,30.0000,47,29,0.617021
SHORT,400,300,2,2,-2850.0000,60.0000,47,34,0.723404
SHORT,400,300,2,3,-2850.0000,90.0000,47,34,0.723404
SHORT,400,300,2,4,-2850.0000,120.0000,47,34,0.723404
SHORT,400,300,2,5,-2850.0000,150.0000,47,35,0.744681
SHORT,400,300,2,6,-2850.0000,180.0000,47,37,0.787234
SHORT,400,300,2,7,-2850.0000,210.0000,47,35,0.744681
