session,flight,bin,T_ms,vx_own,vy_own,vz_own,vx_ref,vy_ref,vz_ref,err_vx,err_vy,err_vz,velocity_error_mm_s
2026_07_21_gym,flight_103,LOB,700,3489.1829677572614,-591.4550939415612,-5900.0822864674765,3520.3159128255174,-553.6091631402029,-5835.831605549199,-31.13294506825605,-37.84593080135835,-64.2506809182778,80.80671225403567
2026_07_21_gym,flight_103,LOB,750,3441.9931647930107,-403.3819827643374,-5940.78055189132,3520.3159128255174,-553.6091631402029,-5835.831605549199,-78.32274803250675,150.2271803758655,-104.94894634212142,199.29109343211474
2026_07_21_gym,flight_103,LOB,800,3436.615001918848,-379.29105501775945,-5945.253637529823,3520.3159128255174,-553.6091631402029,-5835.831605549199,-83.70091090666938,174.31810812244345,-109.42203198062452,222.1842172359744
2026_07_21_gym,flight_103,LOB,850,3458.020698183205,-475.63729200630934,-5929.544772143532,3520.3159128255174,-553.6091631402029,-5835.831605549199,-62.29521464231266,77.97187113389356,-93.71316659433342,136.90311920693955
2026_07_21_gym,flight_103,LOB,900,3473.0137858806715,-475.57038263428615,-5903.743900698496,3520.3159128255174,-553.6091631402029,-5835.831605549199,-47.302126944845895,78.03878050591675,-67.91229514929728,113.75246067141691
2026_07_21_gym,flight_103,LOB,950,3481.3284762165476,-471.5304686855637,-5885.0780337533015,3520.3159128255174,-553.6091631402029,-5835.831605549199,-38.9874366089698,82.07869445463922,-49.24642820410281,103.35445315794709
2026_07_21_gym,flight_103,LOB,1000,3515.0404299391303,-540.7003210975985,-5849.368452227216,3520.3159128255174,-553.6091631402029,-5835.831605549199,-5.275482886387181,12.90884204260442,-13.536846678017355,19.434894919952796
2026_07_21_gym,flight_103,LOB,1050,3489.548460744694,-513.8160617792252,-5874.650898473385,3520.3159128255174,-553.6091631402029,-5835.831605549199,-30.76745208082366,39.793101360977744,-38.8192929241859,63.53789834897395
2026_07_21_gym,flight_103,LOB,1100,3495.114052391238,-530.9399724712129,-5861.13752257687,3520.3159128255174,-553.6091631402029,-5835.831605549199,-25.201860434279297,22.66919066899004,-25.305917027671057,42.30148238002156
2026_07_21_gym,flight_103,LOB,1150,3520.909058071447,-575.4158240461879,-5831.394109853389,3520.3159128255174,-553.6091631402029,-5835.831605549199,0.5931452459294633,-21.80666090598504,4.437495695809957,22.261483535508656
2026_07_21_gym,flight_103,LOB,1200,3517.7894080789447,-587.2334796148581,-5837.298006688923,3520.3159128255174,-553.6091631402029,-5835.831605549199,-2.526504746572755,-33.62431647465519,-1.4664011397244394,33.750973570029096
2026_07_21_gym,flight_103,LOB,1250,3496.5991536986685,-519.7373113077193,-5849.007098833798,3520.3159128255174,-553.6091631402029,-5835.831605549199,-23.716759126848956,33.87185183248357,-13.175493284599725,43.397933514572145
2026_07_21_gym,flight_104,LOB,200,2649.250802977291,206.96875675667067,-7722.9681155145245,2915.7775737931925,181.36977283936037,-6968.279680542674,-266.5267708159013,25.598983917310306,-754.6884349718503,800.7786594430507
2026_07_21_gym,flight_104,LOB,250,2591.3250981203887,333.2707633683036,-7807.952574411319,2915.7775737931925,181.36977283936037,-6968.279680542674,-324.45247567280376,151.90099052894325,-839.6728938686447,912.9040960537028
2026_07_21_gym,flight_104,LOB,300,2613.914587757075,357.80337125127693,-7721.60486128843,2915.7775737931925,181.36977283936037,-6968.279680542674,-301.8629860361175,176.43359841191656,-753.3251807457555,830.5112310696599
2026_07_21_gym,flight_104,LOB,350,2669.024570437705,273.8439060630363,-7590.903218346353,2915.7775737931925,181.36977283936037,-6968.279680542674,-246.75300335548764,92.47413322367592,-622.623537803679,676.0906594589153
2026_07_21_gym,flight_104,LOB,400,2885.264215115714,30.628549868053337,-7118.490793487983,2915.7775737931925,181.36977283936037,-6968.279680542674,-30.513358677478664,-150.74122297130702,-150.21111294530874,214.9822313888611
2026_07_21_gym,flight_104,LOB,450,2863.682155507224,75.34329232929159,-7145.629975119407,2915.7775737931925,181.36977283936037,-6968.279680542674,-52.09541828596866,-106.02648051006878,-177.35029457673318,213.09311148461748
2026_07_21_gym,flight_104,LOB,490,2711.6425395083784,273.25056263655966,-7463.650421645405,2915.7775737931925,181.36977283936037,-6968.279680542674,-204.13503428481408,91.8807897971993,-495.3707411027308,543.6040497429052
2026_07_21_gym,flight_104,LOB,500,2726.9150915207406,246.39783641643373,-7432.872576326224,2915.7775737931925,181.36977283936037,-6968.279680542674,-188.86248227245187,65.02806357707337,-464.59289578354947,505.711622444293
2026_07_21_gym,flight_104,LOB,550,2912.436284266279,-24.821775396643655,-7041.9124031152305,2915.7775737931925,181.36977283936037,-6968.279680542674,-3.3412895269134424,-206.19154823600402,-73.6327225725563,218.9700815479365
2026_07_21_gym,flight_104,LOB,600,2804.4030647585173,221.71377853856237,-7237.257143312749,2915.7775737931925,181.36977283936037,-6968.279680542674,-111.37450903467516,40.344005699202,-268.97746277007445,293.9060998632014
2026_07_21_gym,flight_104,LOB,650,2949.3645708078734,24.267814193502293,-6961.527836823281,2915.7775737931925,181.36977283936037,-6968.279680542674,33.58699701468095,-157.10195864585808,6.751843719393037,160.7939649751825
2026_07_21_gym,flight_104,LOB,700,2929.725055510942,137.46526338377603,-6971.033313207404,2915.7775737931925,181.36977283936037,-6968.279680542674,13.947481717749724,-43.90450945558433,-2.7536326647295937,46.14889694949088
2026_07_21_gym,flight_104,LOB,750,2935.2814150027343,109.8217668959799,-6974.853313338386,2915.7775737931925,181.36977283936037,-6968.279680542674,19.50384120954186,-71.54800594338046,-6.573632795712001,74.4495105728296
2026_07_21_gym,flight_104,LOB,800,2904.7841726362253,153.61282924519614,-7020.782649048171,2915.7775737931925,181.36977283936037,-6968.279680542674,-10.993401156967138,-27.756943594164227,-52.50296850549694,60.39755366384261
2026_07_21_gym,flight_104,LOB,850,2904.054991840241,163.3100010526895,-7018.3612493125875,2915.7775737931925,181.36977283936037,-6968.279680542674,-11.72258195295126,-18.059771786670865,-50.08156876991325,54.513647970813
2026_07_21_gym,flight_104,LOB,900,2922.797959945616,154.90377001863482,-6978.170853142401,2915.7775737931925,181.36977283936037,-6968.279680542674,7.020386152423725,-26.46600282072555,-9.891172599726815,29.113062745671275
