bin,T_ms,n,X_depth_bias_mm_s,X_depth_scatter_rms_mm_s,X_depth_median_abs_mm_s,Y_width_bias_mm_s,Y_width_scatter_rms_mm_s,Y_width_median_abs_mm_s,Z_up_bias_mm_s,Z_up_scatter_rms_mm_s,Z_up_median_abs_mm_s
MID,350,12,23.540241459140514,106.09203657051215,43.94439373984983,-41.38410599096591,229.36415746124547,97.29373257605255,3.015951278442685,101.65502409240477,66.61756287435082
MID,400,12,-19.23321089157294,58.368131407174275,39.72024831904287,62.57814009496527,129.84466482830965,110.67136286865278,-43.016807223838136,99.68132405809932,53.29757647957513
MID,450,12,-20.477319691440396,53.24849656591261,30.1847352660086,48.698500584865826,107.36626555565937,74.48267234397797,-47.63281813386899,91.44253020137715,63.26094823574954
MID,490,12,-17.785468776260398,42.801283496634674,34.56554514166237,41.49118259938796,95.37976332229657,68.55096906849107,-40.167154157553114,75.66134069325102,64.69334721761743
MID,500,12,-29.84378493103024,54.25020314649179,28.759797337498185,73.19941429002748,115.49541015986443,65.36770615141992,-48.58010178077726,83.1438139342924,62.52201821064591
MID,550,12,-7.348837702302641,31.220026660578565,22.451254142809375,27.53584341449807,91.28820489234589,82.18752658124345,-29.118093499618038,55.187706993912755,32.19533059881542
MID,600,12,-4.689821316092321,43.134288130467894,27.36743085857188,8.08394791180285,83.11306103103122,51.110383862368735,-29.909390410283702,62.10597349531878,37.34886735613645
MID,650,12,-4.005396748949768,32.98273290291032,21.782274507619604,19.305939781570075,69.41034556652276,42.46567277041558,-25.228439342393813,48.87453746217605,19.593656005431967
MID,700,12,-13.167928138140724,42.66760567183901,24.707811879038218,51.02590039904384,104.29336543589004,48.232971108833,-25.436041858048156,63.569485147158986,18.72741220955504
MID,750,12,3.143405043891297,27.375289330443398,18.971464932511026,-4.7134185817663985,77.53890663725304,38.45068246460528,-18.214389593484118,61.9375669096277,21.089238310848486
MID,800,12,7.1739142366712185,37.343987664417284,21.347270819861023,13.157514269096888,115.46102729076168,40.959684588032545,-1.5629658089803418,31.25745403567997,10.288337199386206
MID,850,12,-0.1526050831799921,23.72364877888386,18.568083968057636,-16.07232812262766,63.843427205829876,40.305715879794604,-18.626552899288146,37.0687216016213,15.20920447450726
MID,900,12,-8.055051668694281,21.513975812545084,12.421034305110652,17.435314137951302,41.509376084940584,22.54149103218768,-14.648431091497704,32.67149171383862,17.28712758880374
MID,950,12,-6.2087046262100785,22.821692427036318,13.576000257225814,-5.755548610034777,55.06069456308622,31.98218877707039,-17.49154605418164,48.25743183526818,10.364455377326067
