bin,T_ms,deadline_ms,n_fit_ok,latency_median_ms,latency_p95_ms,T_ready_median_ms,T_ready_p95_ms,margin_median_ms,margin_p95_ms,feasible_p95,position_error_median_mm,position_error_iqr_mm
FLAT,1250.0,490.0,35,201.6144246670107,234.7333870660203,1451.6144246670108,1484.7333870660202,-961.6144246670107,-994.7333870660203,False,20.349454189574157,17.05210589019706
MID,150.0,710.0,7,128.1382766670237,141.5771699665735,278.13827666702366,291.5771699665735,431.86172333297634,418.4228300334265,True,170.8680020357907,264.0895409686739
MID,200.0,710.0,10,137.485926166332,147.46957226643957,337.485926166332,347.46957226643957,372.514073833668,362.53042773356043,True,122.15302244589458,208.33133652852658
MID,250.0,710.0,10,147.29057316637287,155.2870415177817,397.29057316637284,405.2870415177817,312.70942683362716,304.7129584822183,True,177.83675266904402,96.6310325822278
MID,300.0,710.0,12,158.31762916749963,172.3259478653005,458.3176291674996,472.32594786530046,251.68237083250037,237.6740521346995,True,128.9477170621231,325.5756293630556
MID,350.0,710.0,12,168.84183366658786,185.75185806743488,518.8418336665878,535.7518580674349,191.15816633341214,174.24814193256512,True,95.06596024497448,150.26129434034894
MID,400.0,710.0,12,179.79561116748178,195.93162011612827,579.7956111674818,595.9316201161282,130.20438883251822,114.06837988387173,True,109.81881174504501,116.26499839220786
MID,450.0,710.0,12,190.27740616599718,228.77870906751292,640.2774061659971,678.7787090675129,69.72259383400282,31.22129093248708,True,77.78413758478086,69.88097350868853
MID,490.0,710.0,12,194.6576391669611,228.8846945672451,684.6576391669611,718.8846945672451,25.342360833038896,-8.884694567245106,False,85.54435832017543,89.47830612827475
MID,500.0,710.0,12,205.73321316732714,247.7872779168809,705.7332131673271,747.7872779168808,4.266786832672864,-37.787277916880896,False,65.47600331803855,83.2563727697736
MID,550.0,710.0,12,207.98158316562572,236.56426746669842,757.9815831656257,786.5642674666984,-47.98158316562572,-76.56426746669842,False,67.06261835530862,59.91617302521493
MID,600.0,710.0,12,214.84463916548216,232.56714951700218,814.8446391654821,832.5671495170022,-104.84463916548216,-122.56714951700218,False,54.87596684358331,63.707658008576495
MID,650.0,710.0,12,229.30508316649744,257.5613937155964,879.3050831664974,907.5613937155964,-169.30508316649744,-197.5613937155964,False,37.62558441134969,56.811014520594256
MID,700.0,710.0,12,233.46905466836566,256.5324156678903,933.4690546683656,956.5324156678903,-223.46905466836566,-246.5324156678903,False,43.3554496060695,57.97556676167302
MID,750.0,710.0,12,245.06203666764,286.93376741755446,995.06203666764,1036.9337674175545,-285.06203666764,-326.93376741755446,False,54.48220412768785,42.15299847848705
MID,800.0,710.0,12,244.05577816596875,273.16973176679267,1044.0557781659688,1073.1697317667927,-334.0557781659687,-363.16973176679267,False,30.796807139098178,57.10576235820914
MID,850.0,710.0,12,255.87469416686025,278.71247341648365,1105.8746941668603,1128.7124734164836,-395.87469416686025,-418.71247341648365,False,32.257769899168366,32.07245508722987
MID,900.0,710.0,12,261.6943706671397,293.5841385668299,1161.6943706671398,1193.58413856683,-451.6943706671397,-483.5841385668299,False,35.99060027516822,36.89698706641357
MID,950.0,710.0,12,264.9347956671069,318.6958813662796,1214.934795667107,1268.6958813662795,-504.9347956671069,-558.6958813662795,False,41.58303317385642,39.18754126612245
MID,1000.0,710.0,12,271.3102961673091,307.2679753667365,1271.3102961673092,1307.2679753667364,-561.3102961673092,-597.2679753667364,False,35.87205840067773,38.103474150133465
MID,1050.0,710.0,12,283.19099966591847,338.46794486648093,1333.1909996659185,1388.467944866481,-623.1909996659185,-678.4679448664809,False,39.902489792795905,26.835129369418432
MID,1100.0,710.0,12,280.3458336653809,329.2140543668221,1380.345833665381,1429.214054366822,-670.345833665381,-719.2140543668221,False,26.260818662496366,34.563366261780615
MID,1150.0,710.0,12,283.6834446672971,346.24962021575004,1433.6834446672972,1496.24962021575,-723.6834446672972,-786.24962021575,False,27.309268257635907,34.619600337782785
MID,1200.0,710.0,11,274.2237596657748,323.25739816591766,1474.2237596657749,1523.2573981659177,-764.2237596657749,-813.2573981659177,False,26.60945149407827,30.083315159207714
MID,1250.0,710.0,12,285.64451766728115,334.7088222677509,1535.6445176672812,1584.708822267751,-825.6445176672812,-874.708822267751,False,26.260818662496366,35.890299353922735
LOB,150.0,1080.0,25,139.6481286684672,150.50174786789964,289.64812866846717,300.50174786789967,790.3518713315328,779.4982521321003,True,549.4608927686296,427.60252357592714
