session,flight,threshold_mm,seed,status,wall_ms,error_mm,n_inliers,n_fit_points,accepted_frames,fit_window_duration_ms
2026_07_15_gym,flight_11,125.0,8,ok,94.6549,542.3696,19,26,43;44;45;46;47;48;49;50;51;53;56;59;60;62;63;64;65;66;68,416.3030
2026_07_15_gym,flight_11,125.0,9,ok,98.2701,445.1787,22,26,43;44;45;46;47;48;49;50;51;52;53;56;59;60;61;62;63;64;65;66;67;68,416.3030
2026_07_15_gym,flight_11,125.0,10,ok,106.2375,432.1785,21,26,43;44;45;46;47;48;49;50;51;53;56;59;60;61;62;63;64;65;66;67;68,416.3030
2026_07_15_gym,flight_11,125.0,11,ok,107.2831,432.1785,21,26,43;44;45;46;47;48;49;50;51;53;56;59;60;61;62;63;64;65;66;67;68,416.3030
2026_07_15_gym,flight_11,125.0,12,ok,108.7528,432.1785,21,26,43;44;45;46;47;48;49;50;51;53;56;59;60;61;62;63;64;65;66;67;68,416.3030
2026_07_15_gym,flight_11,125.0,13,ok,104.3969,445.1787,22,26,43;44;45;46;47;48;49;50;51;52;53;56;59;60;61;62;63;64;65;66;67;68,416.3030
2026_07_15_gym,flight_11,125.0,14,ok,106.1089,413.2297,20,26,43;44;45;46;47;48;49;50;51;52;53;59;61;62;63;64;65;66;67;68,416.3030
2026_07_15_gym,flight_11,125.0,15,ok,109.5092,432.1785,21,26,43;44;45;46;47;48;49;50;51;53;56;59;60;61;62;63;64;65;66;67;68,416.3030
2026_07_15_gym,flight_11,125.0,16,ok,111.6124,432.1785,21,26,43;44;45;46;47;48;49;50;51;53;56;59;60;61;62;63;64;65;66;67;68,416.3030
2026_07_15_gym,flight_11,125.0,17,ok,105.3243,445.1787,22,26,43;44;45;46;47;48;49;50;51;52;53;56;59;60;61;62;63;64;65;66;67;68,416.3030
2026_07_15_gym,flight_11,125.0,18,ok,105.9582,437.2389,21,26,43;44;45;46;47;48;49;50;51;52;53;59;60;61;62;63;64;65;66;67;68,416.3030
2026_07_15_gym,flight_11,125.0,19,ok,109.3700,509.1901,21,26,43;44;45;46;47;48;49;50;51;52;53;56;59;60;61;62;63;64;65;66;68,416.3030
2026_07_15_gym,flight_11,125.0,20,ok,110.4982,432.1785,21,26,43;44;45;46;47;48;49;50;51;53;56;59;60;61;62;63;64;65;66;67;68,416.3030
2026_07_15_gym,flight_11,125.0,21,ok,111.2240,432.1785,21,26,43;44;45;46;47;48;49;50;51;53;56;59;60;61;62;63;64;65;66;67;68,416.3030
2026_07_15_gym,flight_11,125.0,22,ok,108.1226,432.1785,21,26,43;44;45;46;47;48;49;50;51;53;56;59;60;61;62;63;64;65;66;67;68,416.3030
2026_07_15_gym,flight_11,125.0,23,ok,107.1449,445.1787,22,26,43;44;45;46;47;48;49;50;51;52;53;56;59;60;61;62;63;64;65;66;67;68,416.3030
2026_07_15_gym,flight_11,125.0,24,ok,105.5397,445.1787,22,26,43;44;45;46;47;48;49;50;51;52;53;56;59;60;61;62;63;64;65;66;67;68,416.3030
2026_07_15_gym,flight_11,150.0,0,ok,107.0694,418.2236,23,26,43;44;45;46;47;48;49;50;51;52;53;56;58;59;60;61;62;63;64;65;66;67;68,416.3030
2026_07_15_gym,flight_11,150.0,1,ok,98.7621,418.2236,23,26,43;44;45;46;47;48;49;50;51;52;53;56;58;59;60;61;62;63;64;65;66;67;68,416.3030
2026_07_15_gym,flight_11,150.0,2,ok,91.6532,413.7053,24,26,43;44;45;46;47;48;49;50;51;52;53;55;56;58;59;60;61;62;63;64;65;66;67;68,416.3030
2026_07_15_gym,flight_11,150.0,3,ok,105.9398,418.2236,23,26,43;44;45;46;47;48;49;50;51;52;53;56;58;59;60;61;62;63;64;65;66;67;68,416.3030
2026_07_15_gym,flight_11,150.0,4,ok,112.2121,445.1787,22,26,43;44;45;46;47;48;49;50;51;52;53;56;59;60;61;62;63;64;65;66;67;68,416.3030
2026_07_15_gym,flight_11,150.0,5,ok,110.8419,418.2236,23,26,43;44;45;46;47;48;49;50;51;52;53;56;58;59;60;61;62;63;64;65;66;67;68,416.3030
2026_07_15_gym,flight_11,150.0,6,ok,105.1251,445.1787,22,26,43;44;45;46;47;48;49;50;51;52;53;56;59;60;61;62;63;64;65;66;67;68,416.3030
2026_07_15_gym,flight_11,150.0,7,ok,103.3404,445.1787,22,26,43;44;45;46;47;48;49;50;51;52;53;56;59;60;61;62;63;64;65;66;67;68,416.3030
2026_07_15_gym,flight_11,150.0,8,ok,102.9389,445.1787,22,26,43;44;45;46;47;48;49;50;51;52;53;56;59;60;61;62;63;64;65;66;67;68,416.3030
2026_07_15_gym,flight_11,150.0,9,ok,100.0161,418.2236,23,26,43;44;45;46;47;48;49;50;51;52;53;56;58;59;60;61;62;63;64;65;66;67;68,416.3030
2026_07_15_gym,flight_11,150.0,10,ok,109.8975,445.1787,22,26,43;44;45;46;47;48;49;50;51;52;53;56;59;60;61;62;63;64;65;66;67;68,416.3030
2026_07_15_gym,flight_11,150.0,11,ok,109.8932,418.2236,23,26,43;44;45;46;47;48;49;50;51;52;53;56;58;59;60;61;62;63;64;65;66;67;68,416.3030
2026_07_15_gym,flight_11,150.0,12,ok,109.1843,418.2236,23,26,43;44;45;46;47;48;49;50;51;52;53;56;58;59;60;61;62;63;64;65;66;67;68,416.3030
2026_07_15_gym,flight_11,150.0,13,ok,112.0307,445.1787,22,26,43;44;45;46;47;48;49;50;51;52;53;56;59;60;61;62;63;64;65;66;67;68,416.3030
2026_07_15_gym,flight_11,150.0,14,ok,108.8155,418.2236,23,26,43;44;45;46;47;48;49;50;51;52;53;56;58;59;60;61;62;63;64;65;66;67;68,416.3030
2026_07_15_gym,flight_11,150.0,15,ok,109.5238,445.1787,22,26,43;44;45;46;47;48;49;50;51;52;53;56;59;60;61;62;63;64;65;66;67;68,416.3030
2026_07_15_gym,flight_11,150.0,16,ok,117.9542,445.1787,22,26,43;44;45;46;47;48;49;50;51;52;53;56;59;60;61;62;63;64;65;66;67;68,416.3030
2026_07_15_gym,flight_11,150.0,17,ok,108.3049,445.1787,22,26,43;44;45;46;47;48;49;50;51;52;53;56;59;60;61;62;63;64;65;66;67;68,416.3030
2026_07_15_gym,flight_11,150.0,18,ok,104.4013,418.2236,23,26,43;44;45;46;47;48;49;50;51;52;53;56;58;59;60;61;62;63;64;65;66;67;68,416.3030
2026_07_15_gym,flight_11,150.0,19,ok,109.9390,445.1787,22,26,43;44;45;46;47;48;49;50;51;52;53;56;59;60;61;62;63;64;65;66;67;68,416.3030
2026_07_15_gym,flight_11,150.0,20,ok,106.1602,509.1901,21,26,43;44;45;46;47;48;49;50;51;52;53;56;59;60;61;62;63;64;65;66;68,416.3030
2026_07_15_gym,flight_11,150.0,21,ok,113.0443,445.1787,22,26,43;44;45;46;47;48;49;50;51;52;53;56;59;60;61;62;63;64;65;66;67;68,416.3030
2026_07_15_gym,flight_11,150.0,22,ok,110.4278,413.7053,24,26,43;44;45;46;47;48;49;50;51;52;53;55;56;58;59;60;61;62;63;64;65;66;67;68,416.3030
2026_07_15_gym,flight_11,150.0,23,ok,107.7209,445.1787,22,26,43;44;45;46;47;48;49;50;51;52;53;56;59;60;61;62;63;64;65;66;67;68,416.3030
2026_07_15_gym,flight_11,150.0,24,ok,103.4438,413.7053,24,26,43;44;45;46;47;48;49;50;51;52;53;55;56;58;59;60;61;62;63;64;65;66;67;68,416.3030
2026_07_15_gym,flight_12,50.0,0,ok,105.9491,165.4912,13,26,32;33;35;36;37;38;44;47;48;50;51;56;57,416.3005
2026_07_15_gym,flight_12,50.0,1,ok,138.7843,175.3910,8,26,32;33;34;35;37;40;43;48,416.3005
2026_07_15_gym,flight_12,50.0,2,ok,105.6381,211.9431,12,26,32;33;34;35;37;44;47;48;50;51;56;57,416.3005
2026_07_15_gym,flight_12,50.0,3,ok,114.5418,160.9592,12,26,33;35;36;38;39;44;47;48;51;53;56;57,416.3005
2026_07_15_gym,flight_12,50.0,4,ok,110.6382,253.7796,10,26,32;33;35;36;38;39;47;50;51;54,416.3005
2026_07_15_gym,flight_12,50.0,5,ok,114.4290,171.1681,12,26,32;33;35;36;37;38;47;48;50;51;54;57,416.3005
2026_07_15_gym,flight_12,50.0,6,ok,117.2628,128.3577,12,26,33;35;36;38;39;44;47;48;50;51;56;57,416.3005
2026_07_15_gym,flight_12,50.0,7,ok,119.1028,178.4280,12,26,32;33;35;37;38;44;47;48;50;51;56;57,416.3005
2026_07_15_gym,flight_12,50.0,8,ok,109.6619,143.1556,10,26,32;34;35;37;40;43;48;51;53;57,416.3005
2026_07_15_gym,flight_12,50.0,9,fit_failed,83.7291,,,26,,416.3005
2026_07_15_gym,flight_12,50.0,10,fit_failed,83.1833,,,26,,416.3005
2026_07_15_gym,flight_12,50.0,11,ok,113.7751,200.9332,8,26,32;33;34;35;37;43;48;53,416.3005
2026_07_15_gym,flight_12,50.0,12,fit_failed,92.4997,,,26,,416.3005
2026_07_15_gym,flight_12,50.0,13,ok,122.7651,382.6332,9,26,32;34;37;44;47;48;50;51;54,416.3005
2026_07_15_gym,flight_12,50.0,14,fit_failed,104.5381,,,26,,416.3005
2026_07_15_gym,flight_12,50.0,15,ok,124.0507,203.4471,9,26,32;33;34;35;37;40;43;48;53,416.3005
2026_07_15_gym,flight_12,50.0,16,ok,112.2872,69.7198,8,26,33;35;37;38;44;48;51;57,416.3005
2026_07_15_gym,flight_12,50.0,17,ok,116.3226,126.1364,10,26,33;35;38;44;47;48;50;51;56;57,416.3005
2026_07_15_gym,flight_12,50.0,18,ok,127.1121,124.3739,12,26,33;35;36;38;39;47;48;50;51;54;56;57,416.3005
2026_07_15_gym,flight_12,50.0,19,ok,125.4553,346.2286,8,26,38;39;41;44;47;48;51;53,416.3005
2026_07_15_gym,flight_12,50.0,20,ok,121.7166,150.6930,8,26,32;34;37;40;43;48;53;57,416.3005
2026_07_15_gym,flight_12,50.0,21,ok,116.3051,229.9844,10,26,32;33;34;35;37;43;44;48;53;56,416.3005
2026_07_15_gym,flight_12,50.0,22,ok,117.3247,168.4979,12,26,32;33;34;35;37;43;44;48;51;53;56;57,416.3005
2026_07_15_gym,flight_12,50.0,23,ok,101.3836,230.2817,11,26,32;33;34;35;37;44;47;48;51;53;56,416.3005
2026_07_15_gym,flight_12,50.0,24,ok,98.7401,186.3916,10,26,33;35;36;38;39;47;50;51;54;56,416.3005
2026_07_15_gym,flight_12,75.0,0,ok,118.3769,175.2299,18,26,32;33;34;35;36;37;38;39;43;44;47;48;50;51;53;54;56;57,416.3005
2026_07_15_gym,flight_12,75.0,1,ok,105.2157,223.4786,12,26,32;33;34;35;36;37;38;40;43;44;48;53,416.3005
2026_07_15_gym,flight_12,75.0,2,ok,101.5593,175.2299,18,26,32;33;34;35;36;37;38;39;43;44;47;48;50;51;53;54;56;57,416.3005
2026_07_15_gym,flight_12,75.0,3,ok,124.2638,175.2299,18,26,32;33;34;35;36;37;38;39;43;44;47;48;50;51;53;54;56;57,416.3005
