session,flight_id,N_requested,N_used,status,speed_m_s,elevation_deg,accel_mag_m_s2,gravity_crosscheck_diff_deg,registration_used,n_paired_frames,flag_reason
2026_07_21_gym,flight_34,30,30,ok,6.6834,55.3075,9.6509,9.8654,registration1,79,"|a|=9.65 outside nominal band [9.8,11.0]"
2026_07_21_gym,flight_35,20,20,ok,8.7287,59.6912,16.9348,33.2912,registration1,86,"|a|=16.93 outside nominal band [9.8,11.0]"
2026_07_21_gym,flight_35,30,30,ok,8.6273,54.9844,11.1210,3.1213,registration1,86,"|a|=11.12 outside nominal band [9.8,11.0]"
2026_07_21_gym,flight_36,20,20,ok,8.1720,49.8240,11.9050,17.6857,registration1,82,"|a|=11.90 outside nominal band [9.8,11.0]"
2026_07_21_gym,flight_36,30,30,ok,8.0208,50.5123,11.2401,14.8430,registration1,82,"|a|=11.24 outside nominal band [9.8,11.0]"
2026_07_21_gym,flight_37,20,20,ok,7.6161,54.2558,10.9414,23.9463,registration1,83,
2026_07_21_gym,flight_37,30,30,ok,7.6133,57.2012,11.4201,5.8080,registration1,83,"|a|=11.42 outside nominal band [9.8,11.0]"
2026_07_21_gym,flight_38,20,20,ok,7.9569,65.0323,11.8290,29.1730,registration1,87,"|a|=11.83 outside nominal band [9.8,11.0]"
2026_07_21_gym,flight_38,30,30,ok,7.9431,68.1585,12.0852,6.8652,registration1,87,"|a|=12.09 outside nominal band [9.8,11.0]"
2026_07_21_gym,flight_39,20,20,ok,6.9989,55.0985,9.6401,2.2124,registration1,81,"|a|=9.64 outside nominal band [9.8,11.0]"
2026_07_21_gym,flight_39,30,30,ok,7.0754,54.9376,10.0689,3.0768,registration1,81,
2026_07_21_gym,flight_40,20,20,ok,6.6518,50.5335,10.5527,10.9237,registration1,72,
2026_07_21_gym,flight_40,30,30,ok,6.7268,48.1513,9.8562,5.7267,registration1,72,
2026_07_21_gym,flight_41,20,20,ok,7.7183,55.6993,11.6995,9.3012,registration1,88,"|a|=11.70 outside nominal band [9.8,11.0]"
2026_07_21_gym,flight_41,30,30,ok,7.5706,54.7444,10.6693,9.5846,registration1,88,
2026_07_21_gym,flight_42,20,20,ok,6.6850,51.1322,10.2877,48.0423,registration1,84,gravity crosscheck diff=48.0 deg > 45.0
2026_07_21_gym,flight_42,30,30,ok,6.6699,57.4988,9.9312,11.3943,registration1,84,
2026_07_21_gym,flight_43,20,20,ok,7.5117,52.4300,10.9266,27.0397,registration1,86,
2026_07_21_gym,flight_43,30,30,ok,7.7007,54.4041,11.9044,3.9147,registration1,86,"|a|=11.90 outside nominal band [9.8,11.0]"
2026_07_21_gym,flight_44,20,20,ok,7.1453,54.0933,14.5932,29.0730,registration1,77,"|a|=14.59 outside nominal band [9.8,11.0]"
2026_07_21_gym,flight_44,30,30,ok,6.9178,51.8674,11.0499,7.7329,registration1,77,"|a|=11.05 outside nominal band [9.8,11.0]"
2026_07_21_gym,flight_45,20,20,ok,7.4338,51.9781,14.9822,19.8953,registration1,77,"|a|=14.98 outside nominal band [9.8,11.0]"
2026_07_21_gym,flight_45,30,30,ok,7.4284,48.7208,11.6696,6.4865,registration1,77,"|a|=11.67 outside nominal band [9.8,11.0]"
2026_07_21_gym,flight_46,20,20,ok,6.6139,63.6672,11.2652,10.6515,registration1,81,"|a|=11.27 outside nominal band [9.8,11.0]"
2026_07_21_gym,flight_46,30,30,ok,6.7338,61.4593,11.0310,4.6493,registration1,81,"|a|=11.03 outside nominal band [9.8,11.0]"
