session,flight,model,rejected_fraction,converge_fail
2026_07_21_gym,flight_69,A,0.3333,False
2026_07_21_gym,flight_69,B,0.6250,False
2026_07_21_gym,flight_69,C,0.3542,False
2026_07_21_gym,flight_70,A,0.1795,False
2026_07_21_gym,flight_70,B,0.3333,False
2026_07_21_gym,flight_70,C,0.2051,False
2026_07_21_gym,flight_71,A,0.0385,False
2026_07_21_gym,flight_71,B,0.0769,False
2026_07_21_gym,flight_71,C,0.0385,False
2026_07_21_gym,flight_72,A,0.3333,False
2026_07_21_gym,flight_72,B,0.4048,False
2026_07_21_gym,flight_72,C,0.2857,False
2026_07_21_gym,flight_73,A,0.2857,False
2026_07_21_gym,flight_73,B,0.5179,False
2026_07_21_gym,flight_73,C,0.3393,False
2026_07_21_gym,flight_74,A,0.1957,False
2026_07_21_gym,flight_74,B,0.3913,False
2026_07_21_gym,flight_74,C,0.2826,False
2026_07_21_gym,flight_75,A,0.2174,False
2026_07_21_gym,flight_75,B,0.3478,False
2026_07_21_gym,flight_75,C,0.2609,False
2026_07_21_gym,flight_76,A,0.2917,False
2026_07_21_gym,flight_76,B,0.4583,False
2026_07_21_gym,flight_76,C,0.2917,False
2026_07_21_gym,flight_77,A,0.1628,False
2026_07_21_gym,flight_77,B,0.3488,False
2026_07_21_gym,flight_77,C,0.1163,False
2026_07_21_gym,flight_78,A,0.2791,False
2026_07_21_gym,flight_78,B,0.3953,False
2026_07_21_gym,flight_78,C,0.2326,False
2026_07_21_gym,flight_79,A,0.1429,False
2026_07_21_gym,flight_79,B,0.2286,False
2026_07_21_gym,flight_79,C,0.1429,False
2026_07_21_gym,flight_80,A,0.1786,False
2026_07_21_gym,flight_80,B,0.2500,False
2026_07_21_gym,flight_80,C,0.2143,False
2026_07_21_gym,flight_81,A,0.0000,False
2026_07_21_gym,flight_81,B,0.1613,False
2026_07_21_gym,flight_81,C,0.0000,False
2026_07_21_gym,flight_87,A,0.3000,False
2026_07_21_gym,flight_87,B,0.4500,False
2026_07_21_gym,flight_87,C,0.2250,False
2026_07_21_gym,flight_88,A,0.2857,False
2026_07_21_gym,flight_88,B,0.4762,False
2026_07_21_gym,flight_88,C,0.2619,False
2026_07_21_gym,flight_89,A,0.1739,False
2026_07_21_gym,flight_89,B,0.1739,False
2026_07_21_gym,flight_89,C,0.1739,False
2026_07_21_gym,flight_90,A,0.1778,False
2026_07_21_gym,flight_90,B,0.4667,False
2026_07_21_gym,flight_90,C,0.1778,False
2026_07_21_gym,flight_91,A,0.1667,False
2026_07_21_gym,flight_91,B,0.3077,False
2026_07_21_gym,flight_91,C,0.1410,False
2026_07_21_gym,flight_92,A,0.2162,False
2026_07_21_gym,flight_92,B,0.3514,False
2026_07_21_gym,flight_92,C,0.1351,False
2026_07_21_gym,flight_93,A,0.3333,False
2026_07_21_gym,flight_93,B,0.5000,False
2026_07_21_gym,flight_93,C,0.2949,False
2026_07_21_gym,flight_94,A,0.4118,False
2026_07_21_gym,flight_94,B,0.5882,False
2026_07_21_gym,flight_94,C,0.3529,False
2026_07_21_gym,flight_95,A,0.3929,False
2026_07_21_gym,flight_95,B,0.6071,False
2026_07_21_gym,flight_95,C,0.3571,False
2026_07_21_gym,flight_96,A,0.2973,False
2026_07_21_gym,flight_96,B,0.4595,False
2026_07_21_gym,flight_96,C,0.2297,False
2026_07_21_gym,flight_97,A,0.2143,False
2026_07_21_gym,flight_97,B,0.3143,False
2026_07_21_gym,flight_97,C,0.2000,False
2026_07_21_gym,flight_98,A,0.1538,False
2026_07_21_gym,flight_98,B,0.4487,False
2026_07_21_gym,flight_98,C,0.1538,False
2026_07_21_gym,flight_99,A,0.3875,False
2026_07_21_gym,flight_99,B,0.4500,False
2026_07_21_gym,flight_99,C,0.2750,False
2026_07_21_gym,flight_100,A,0.3373,False
2026_07_21_gym,flight_100,B,0.5904,False
2026_07_21_gym,flight_100,C,0.3253,False
2026_07_21_gym,flight_101,A,0.3521,False
2026_07_21_gym,flight_101,B,0.3803,False
2026_07_21_gym,flight_101,C,0.2817,False
2026_07_21_gym,flight_102,A,0.2055,False
2026_07_21_gym,flight_102,B,0.3699,False
2026_07_21_gym,flight_102,C,0.1781,False
2026_07_21_gym,flight_103,A,0.3521,False
2026_07_21_gym,flight_103,B,0.4648,False
2026_07_21_gym,flight_103,C,0.3380,False
2026_07_21_gym,flight_104,A,0.3049,False
2026_07_21_gym,flight_104,B,0.4878,False
2026_07_21_gym,flight_104,C,0.2439,False
2026_07_21_gym,flight_105,A,0.4321,False
2026_07_21_gym,flight_105,B,0.5309,False
2026_07_21_gym,flight_105,C,0.3580,False
2026_07_21_gym,flight_106,A,0.4458,False
2026_07_21_gym,flight_106,B,0.6024,False
2026_07_21_gym,flight_106,C,0.4217,False
2026_07_21_gym,flight_107,A,0.3867,False
2026_07_21_gym,flight_107,B,0.5200,False
2026_07_21_gym,flight_107,C,0.4267,False
2026_07_21_gym,flight_108,A,0.4211,False
2026_07_21_gym,flight_108,B,0.5789,False
2026_07_21_gym,flight_108,C,0.3684,False
2026_07_21_gym,flight_109,A,0.3580,False
2026_07_21_gym,flight_109,B,0.6173,False
2026_07_21_gym,flight_109,C,0.3704,False
2026_07_21_gym,flight_110,A,0.3108,False
2026_07_21_gym,flight_110,B,0.4459,False
2026_07_21_gym,flight_110,C,0.2432,False
2026_07_21_gym,flight_111,A,0.3514,False
2026_07_21_gym,flight_111,B,0.5135,False
2026_07_21_gym,flight_111,C,0.2703,False
2026_07_21_gym,flight_112,A,0.5000,False
2026_07_21_gym,flight_112,B,0.5000,False
2026_07_21_gym,flight_112,C,0.4429,False
2026_07_21_gym,flight_113,A,0.3544,False
2026_07_21_gym,flight_113,B,0.4557,False
2026_07_21_gym,flight_113,C,0.2911,False
2026_07_21_gym,flight_114,A,0.3671,False
2026_07_21_gym,flight_114,B,0.6076,False
2026_07_21_gym,flight_114,C,0.3671,False
2026_07_21_gym,flight_115,A,0.2958,False
2026_07_21_gym,flight_115,B,0.3944,False
2026_07_21_gym,flight_115,C,0.2958,False
2026_07_21_gym,flight_116,A,0.3452,False
2026_07_21_gym,flight_116,B,0.5357,False
2026_07_21_gym,flight_116,C,0.2619,False
2026_07_21_gym,flight_117,A,0.3580,False
2026_07_21_gym,flight_117,B,0.5926,False
2026_07_21_gym,flight_117,C,0.3827,False
2026_07_21_gym,flight_118,A,0.3151,False
2026_07_21_gym,flight_118,B,0.5753,False
2026_07_21_gym,flight_118,C,0.3014,False
2026_07_21_gym,flight_119,A,0.2667,False
2026_07_21_gym,flight_119,B,0.3500,False
2026_07_21_gym,flight_119,C,0.2333,False
