session,flight,model,residual_rms_mm
2026_07_21_gym,flight_119,A,39.0564
2026_07_21_gym,flight_119,B,48.5253
2026_07_21_gym,flight_119,C,40.7461
2026_07_21_gym,flight_120,A,43.1310
2026_07_21_gym,flight_120,B,45.7485
2026_07_21_gym,flight_120,C,43.8071
2026_07_21_gym,flight_121,A,44.1645
2026_07_21_gym,flight_121,B,46.2400
2026_07_21_gym,flight_121,C,45.0702
2026_07_21_gym,flight_122,A,39.3476
2026_07_21_gym,flight_122,B,44.6290
2026_07_21_gym,flight_122,C,44.7377
2026_07_21_gym,flight_123,A,44.0170
2026_07_21_gym,flight_123,B,49.2798
2026_07_21_gym,flight_123,C,41.9249
2026_07_21_gym,flight_124,A,51.1046
2026_07_21_gym,flight_124,B,53.6140
2026_07_21_gym,flight_124,C,47.0414
2026_07_21_gym,flight_125,A,40.6780
2026_07_21_gym,flight_125,B,48.7710
2026_07_21_gym,flight_125,C,36.5055
2026_07_21_gym,flight_126,A,49.4800
2026_07_21_gym,flight_126,B,43.9342
2026_07_21_gym,flight_126,C,44.7580
2026_07_15_gym,flight_01,A,30.0128
2026_07_15_gym,flight_01,B,35.8946
2026_07_15_gym,flight_01,C,37.9804
2026_07_15_gym,flight_11,A,45.5105
2026_07_15_gym,flight_11,B,35.1333
2026_07_15_gym,flight_11,C,43.1933
2026_07_15_gym,flight_12,A,47.5584
2026_07_15_gym,flight_12,B,43.3794
2026_07_15_gym,flight_12,C,48.8546
2026_07_15_gym,flight_13,A,35.8725
2026_07_15_gym,flight_13,B,40.1693
2026_07_15_gym,flight_13,C,35.4098
2026_07_15_gym,flight_14,A,36.8433
2026_07_15_gym,flight_14,B,49.3837
2026_07_15_gym,flight_14,C,40.1862
2026_07_15_gym,flight_15,A,43.4441
2026_07_15_gym,flight_15,B,48.1378
2026_07_15_gym,flight_15,C,48.7230
2026_07_15_gym,flight_17,A,46.4385
2026_07_15_gym,flight_17,B,46.0703
2026_07_15_gym,flight_17,C,50.0985
2026_07_15_gym,flight_19,A,39.0623
2026_07_15_gym,flight_19,B,46.4197
2026_07_15_gym,flight_19,C,40.8993
2026_07_15_gym,flight_20,A,41.6576
2026_07_15_gym,flight_20,B,48.3493
2026_07_15_gym,flight_20,C,44.7933
2026_07_15_gym,flight_21,A,45.0378
2026_07_15_gym,flight_21,B,36.5126
2026_07_15_gym,flight_21,C,41.6610
2026_07_15_gym,flight_22,A,44.9983
2026_07_15_gym,flight_22,B,40.2202
2026_07_15_gym,flight_22,C,41.7734
2026_07_15_gym,flight_23,A,46.4107
2026_07_15_gym,flight_23,B,47.5717
2026_07_15_gym,flight_23,C,41.5695
2026_07_15_gym,flight_24,A,40.3895
2026_07_15_gym,flight_24,B,44.0946
2026_07_15_gym,flight_24,C,38.7699
2026_07_15_gym,flight_25,A,44.8134
2026_07_15_gym,flight_25,B,52.5887
2026_07_15_gym,flight_25,C,45.7545
2026_07_15_gym,flight_26,A,35.3601
2026_07_15_gym,flight_26,B,43.4412
2026_07_15_gym,flight_26,C,44.3815
2026_07_15_gym,flight_27,A,38.5245
2026_07_15_gym,flight_27,B,41.4020
2026_07_15_gym,flight_27,C,42.3351
2026_07_15_gym,flight_28,A,40.7648
2026_07_15_gym,flight_28,B,45.8761
2026_07_15_gym,flight_28,C,38.7842
2026_07_15_gym,flight_29,A,39.3166
2026_07_15_gym,flight_29,B,47.5103
2026_07_15_gym,flight_29,C,39.9609
2026_07_15_gym,flight_31,A,39.1720
2026_07_15_gym,flight_31,B,43.1575
2026_07_15_gym,flight_31,C,39.6693
2026_07_15_gym,flight_33,A,43.1840
2026_07_15_gym,flight_33,B,49.6331
2026_07_15_gym,flight_33,C,41.6899
2026_07_15_gym,flight_36,A,40.0976
2026_07_15_gym,flight_36,B,46.6607
2026_07_15_gym,flight_36,C,42.8879
2026_07_15_gym,flight_38,A,38.1863
2026_07_15_gym,flight_38,B,47.6481
2026_07_15_gym,flight_38,C,39.2774
2026_07_15_gym,flight_43,A,42.2440
2026_07_15_gym,flight_43,B,53.1289
2026_07_15_gym,flight_43,C,45.1376
2026_07_15_gym,flight_45,A,37.7577
2026_07_15_gym,flight_45,B,43.2277
2026_07_15_gym,flight_45,C,41.0247
2026_07_15_gym,flight_47,A,43.3126
2026_07_15_gym,flight_47,B,47.1615
2026_07_15_gym,flight_47,C,41.5071
2026_07_15_gym,flight_48,A,46.2799
2026_07_15_gym,flight_48,B,47.2247
2026_07_15_gym,flight_48,C,46.4174
2026_07_15_gym,flight_49,A,39.9695
2026_07_15_gym,flight_49,B,41.8903
2026_07_15_gym,flight_49,C,41.5110
2026_07_15_gym,flight_50,A,40.5458
2026_07_15_gym,flight_50,B,47.7678
2026_07_15_gym,flight_50,C,39.4271
2026_07_15_gym,flight_52,A,34.5985
2026_07_15_gym,flight_52,B,41.7478
2026_07_15_gym,flight_52,C,40.1263
2026_07_15_gym,flight_53,A,38.4368
2026_07_15_gym,flight_53,B,54.8693
2026_07_15_gym,flight_53,C,42.1844
2026_07_15_gym,flight_54,A,39.6958
